employee_id,first_name,last_name,email,department,job_title,store_id,region_id,hire_date,salary,is_active,manager_id
1,Johnny,Bean,traceynguyen@washington.biz,HR,Recruiter,3,1,8/21/2019,140537.13,TRUE,53
2,Jose,Parks,ginasanchez@nixon.com,Logistics,Supply Chain Manager,,8,4/18/2016,130385.71,TRUE,72
3,Emily,Shannon,carlamorales@lowe-turner.com,HR,Training Specialist,,5,8/16/2021,95760.4,FALSE,
4,Jeremiah,Perez,danielperry@bailey.com,Finance,Controller,2,8,3/12/2026,122718.34,TRUE,
5,Alexis,Kramer,danielleblair@moore.com,Sales,Sales Associate,5,6,4/4/2021,80261.36,TRUE,
6,Alexis,Johnson,swilkinson@henry-ball.info,Operations,Shift Supervisor,,1,9/23/2017,34388.23,FALSE,158
7,David,Johnson,edean@martin-marshall.org,Sales,Senior Sales Rep,,8,4/6/2021,65860.64,TRUE,294
8,Crystal,Allen,gibsontimothy@peters-le.info,Operations,Operations Manager,7,9,7/18/2020,32427.23,TRUE,181
9,Heather,Patton,csullivan@stone.info,Marketing,Marketing Analyst,12,5,3/7/2020,79519.89,TRUE,55
10,Erika,Hood,charles05@wheeler.com,Operations,Inventory Clerk,7,5,2/8/2021,81114.98,TRUE,43
11,Lori,Avila,rodriguezkristin@snow-ford.biz,Operations,Store Associate,15,1,10/21/2021,144183.98,TRUE,222
12,Kelly,Greer,troydickson@fletcher.com,Logistics,Supply Chain Manager,,5,8/18/2020,125461.39,TRUE,247
13,Laura,Vega,flin@wade-davis.biz,IT,IT Manager,34,9,9/2/2017,65889.79,TRUE,124
14,Gregory,Torres,hannadustin@clark.net,HR,HR Manager,,4,8/2/2024,33099.34,TRUE,
15,Larry,Cooper,cassandrahill@vargas.com,Customer Service,Quality Analyst,44,2,3/10/2022,144485.11,TRUE,206
16,Robert,Garner,cookshane@smith.biz,Operations,Operations Manager,,6,12/6/2015,71832.54,TRUE,75
17,Ronald,Cooper,dixonkyle@salinas.biz,HR,HR Manager,45,9,10/9/2022,59807.18,TRUE,286
18,Martha,Shaffer,christophersimmons@roberts-mcdonald.biz,Customer Service,Quality Analyst,16,9,5/15/2020,131404.62,TRUE,41
19,Connie,Peterson,lucaskrista@gilbert-hughes.net,Operations,Inventory Clerk,33,8,8/6/2022,86254.34,TRUE,43
20,Eric,Smith,patrick25@owens-hayes.com,Sales,Sales Manager,,7,11/9/2017,111660.45,TRUE,
21,Katherine,Shaw,terri57@lawrence.com,Logistics,Driver,48,5,3/17/2021,43337.51,TRUE,264
22,Ashley,Rios,marissamiller@clark-wagner.biz,Sales,Senior Sales Rep,,1,6/6/2018,61817.59,TRUE,
23,Jeffrey,Davis,lindsey27@henry.com,Marketing,Marketing Analyst,,5,1/25/2019,60176.79,TRUE,93
24,Rose,Baxter,dthornton@barnes.com,Logistics,Supply Chain Manager,7,5,11/3/2021,102096.59,TRUE,16
25,Melissa,Jacobson,robertssarah@briggs-wright.com,Marketing,Content Specialist,5,2,2/26/2025,35429.61,TRUE,155
26,Megan,Bell,danieltate@gibbs.com,IT,Data Analyst,15,2,11/4/2017,123825.21,TRUE,34
27,Thomas,Wilson,christopherperez@gonzalez.info,Customer Service,CS Manager,6,8,2/5/2015,72619.05,TRUE,120
28,Thomas,Jones,jeffreyguerrero@green.info,Sales,Senior Sales Rep,46,8,12/10/2019,56081.43,TRUE,247
29,Ashley,Mercado,omontes@ross.com,Sales,Sales Associate,1,2,7/18/2014,106639.76,TRUE,212
30,Michael,Hernandez,vcook@trevino.info,Operations,Store Associate,36,3,11/20/2018,135885.33,TRUE,134
31,Brian,Valdez,ashley16@henderson.com,Sales,Sales Associate,14,9,2/18/2016,75083.29,TRUE,219
32,Elizabeth,Hartman,martinkelly@hernandez-mccoy.org,Logistics,Warehouse Associate,,6,11/6/2020,128634.5,TRUE,175
33,Sheryl,Rose,rebekah04@watson.com,Sales,Sales Manager,6,2,9/4/2022,125795.68,TRUE,
34,Joseph,Clark,ashley53@sanchez-campbell.com,Sales,Sales Manager,6,6,9/16/2021,116338.68,TRUE,293
35,David,Lopez,ryan88@freeman-hopkins.info,IT,Data Analyst,,3,12/27/2024,86456.85,TRUE,
36,Daniel,Schaefer,latoyahamilton@gray.com,HR,Training Specialist,39,7,3/24/2022,79136.74,TRUE,258
37,Briana,Phillips,amyclay@hudson.net,IT,Data Analyst,,8,3/25/2015,71542.94,TRUE,
38,Lauren,Byrd,johnsonashley@morales.biz,HR,Training Specialist,49,1,10/14/2018,75707.27,TRUE,257
39,Nancy,Morgan,michael51@johnson-jones.info,Logistics,Warehouse Associate,49,8,3/24/2024,70138.58,TRUE,
40,Lindsey,Gilbert,chelsea38@lee.net,Operations,Inventory Clerk,7,2,5/22/2026,65912.35,TRUE,196
41,Patricia,Bell,michael71@cooper-turner.info,Sales,Sales Manager,2,2,11/14/2019,96130.02,TRUE,182
42,Beth,Burns,davisbeth@burke.com,Customer Service,CSR,26,8,1/9/2015,115395.91,TRUE,24
43,Rebecca,Hardin,lweaver@holt.info,HR,HR Manager,6,5,6/1/2020,134393.47,TRUE,
44,Melanie,Young,prestonpacheco@rodriguez.org,HR,Recruiter,32,1,3/17/2020,91893.93,FALSE,23
45,Darrell,Thornton,ejordan@garcia.info,Marketing,Marketing Manager,15,8,10/13/2022,107606.23,TRUE,91
46,Linda,Stone,hartdonald@alexander.com,Logistics,Supply Chain Manager,29,1,9/18/2015,65144.5,TRUE,289
47,Amy,Murphy,brittany61@elliott.org,Marketing,Marketing Manager,,1,4/5/2020,82317.22,TRUE,225
48,Janet,Kennedy,abigail85@stephens.com,Sales,Sales Associate,5,5,5/21/2017,56855.84,TRUE,116
49,Patrick,Fisher,chrishenry@lutz-harris.com,Customer Service,Quality Analyst,7,1,9/7/2016,67356.45,TRUE,43
50,Timothy,Gonzalez,tina56@james.com,IT,Support Technician,,8,8/6/2015,80863.41,FALSE,235
51,Tiffany,Craig,john33@butler.com,IT,Support Technician,35,1,3/16/2020,32615.21,TRUE,129
52,Curtis,Harris,dfoster@morris.com,Operations,Operations Manager,24,8,6/19/2016,81358.5,TRUE,248
53,Alex,Haynes,csmith@miranda.net,Customer Service,CSR,32,3,6/1/2015,109750.65,TRUE,
54,Amy,Allen,richardsmith@williams.com,Operations,Shift Supervisor,,2,3/30/2021,61260.77,FALSE,78
55,Alexander,Combs,milesmatthew@zamora.com,Marketing,Marketing Manager,,3,5/3/2019,116221.38,TRUE,101
56,Samuel,Cole,fpowell@duncan-cook.com,Logistics,Driver,18,1,8/21/2020,133169.72,TRUE,
57,Catherine,Peterson,stephengates@anderson.info,Sales,Sales Manager,18,5,9/8/2017,109752.34,TRUE,274
58,Isabella,Velasquez,haleymedina@jackson-dawson.com,Sales,Sales Associate,,3,6/27/2019,70673.35,TRUE,
59,Julia,Smith,alec82@fletcher-jackson.biz,Finance,Controller,,1,1/20/2019,129145.72,TRUE,
60,Steven,Mata,mark58@elliott.com,Customer Service,CSR,26,3,10/5/2021,113098.24,TRUE,124
61,James,Walton,seanbird@cross.org,Customer Service,CSR,,6,8/8/2018,136759.82,TRUE,55
62,Shawn,Moss,xfranco@oneal.com,IT,Support Technician,25,2,11/21/2022,81222.01,TRUE,208
63,Christopher,Cisneros,veronicamckee@davis.com,IT,Data Analyst,48,4,5/3/2020,75590.92,TRUE,
64,Lisa,Peterson,wcameron@gomez.net,IT,Developer,25,9,8/4/2016,87163.96,TRUE,76
65,Karen,May,travisparsons@rodgers.com,Operations,Operations Manager,24,1,6/1/2022,122973.16,TRUE,199
66,Christine,Coffey,davisdustin@king.org,HR,HR Coordinator,36,8,12/29/2021,124590.01,TRUE,287
67,Tammy,Patel,jenniferbailey@white.org,Customer Service,CSR,35,4,4/28/2022,103867.92,TRUE,
68,Joann,Wilson,laura02@hernandez-snyder.com,Sales,Sales Associate,28,7,3/28/2015,68455.3,TRUE,124
